,0
0,312
1,243
2,437
3,30
4,1190
5,1187
6,1735
7,1175
8,361
9,234
10,559
11,1119
12,96
13,1170
14,1824
15,1291
16,1139
17,250
18,1220
19,82
20,476
21,719
22,1548
23,1518
24,317
25,368
26,127
27,1356
28,1633
29,702
30,646
31,1639
32,957
33,1702
34,981
35,992
36,1369
37,152
38,1015
39,1751
40,1504
41,811
42,304
43,867
44,383
45,297
46,1458
47,265
48,138
49,1692
50,1163
51,1307
52,590
53,816
54,341
55,517
56,1016
57,1062
58,1042
59,1477
60,504
61,699
62,1797
63,1755
64,186
65,1748
66,1457
67,1780
68,1213
69,884
70,1666
71,744
72,570
73,1493
74,1087
75,1559
76,240
77,1024
78,609
79,1764
80,1299
81,161
82,521
83,131
84,1569
85,518
86,894
87,1287
88,86
89,61
90,1600
91,1335
92,1079
93,1713
94,1083
95,1480
96,75
97,258
98,144
99,1233
100,23
101,1072
102,264
103,823
104,1010
105,982
106,1425
107,998
108,351
109,1106
110,946
111,980
112,1453
113,1056
114,295
115,1385
116,789
117,983
118,471
119,997
120,1848
121,831
122,200
123,749
124,1867
125,1695
126,617
127,573
128,1765
129,718
130,547
131,1776
132,183
133,474
134,1209
135,32
136,1617
137,314
138,1539
139,1794
140,1775
141,1704
142,1033
143,278
144,1909
145,1821
146,698
147,1469
148,1447
149,1120
150,1316
151,1404
152,760
153,629
154,955
155,630
156,1562
157,326
158,1065
159,1464
160,1446
161,769
162,1875
163,1339
164,544
165,943
166,1149
167,1262
168,1108
169,585
170,1896
171,596
172,256
173,73
174,169
175,1109
176,1134
177,836
178,1245
179,919
180,62
181,6
182,498
183,984
184,249
185,1206
186,1075
187,1626
188,1285
189,404
190,403
191,136
192,441
193,787
194,543
195,1598
196,213
197,633
198,1334
199,340
200,1807
201,621
202,654
203,1754
204,1694
205,531
206,954
207,797
208,1461
209,1167
210,873
211,1076
212,673
213,1157
214,171
215,499
216,1198
217,1858
218,612
219,878
220,321
221,430
222,1914
223,1197
224,1485
225,595
226,1211
227,115
228,1741
229,747
230,231
231,139
232,190
233,801
234,844
235,1254
236,683
237,568
238,187
239,1484
240,554
241,220
242,487
243,1711
244,1491
245,1032
246,1656
247,1449
248,1248
249,119
250,1448
251,741
252,721
253,680
254,488
255,1495
256,1391
257,1560
258,280
259,1162
260,861
261,344
262,212
263,857
264,285
265,1394
266,1723
267,260
268,40
269,449
270,1888
271,53
272,214
273,1861
274,576
275,761
276,1574
277,782
278,1168
279,804
280,788
281,881
282,1060
283,1650
284,333
285,224
286,989
287,1215
288,145
289,390
290,1500
291,1638
292,601
293,1140
294,1250
295,1439
296,1210
297,623
298,736
299,1138
300,1430
301,941
302,533
303,740
304,1883
305,1790
306,473
307,1652
308,581
309,1310
310,1587
311,1809
312,1325
313,362
314,1241
315,696
316,495
317,1476
318,1014
319,636
320,1084
321,1008
322,1051
323,282
324,973
325,1208
326,464
327,1878
328,416
329,528
330,1905
331,1897
332,707
333,1154
334,1311
335,433
336,399
337,398
338,1779
339,917
340,563
341,1436
342,479
343,964
344,1246
345,39
346,1494
347,1810
348,1689
349,663
350,369
351,1212
352,274
353,520
354,1877
355,851
356,175
357,201
358,1003
359,1406
360,564
361,97
362,346
363,1798
364,1669
365,1823
366,1531
367,493
368,299
369,1428
370,1594
371,376
372,713
373,1876
374,1654
375,1360
376,1762
377,1566
378,1432
379,669
380,1632
381,1705
