,0
0,319
1,1552
2,1395
3,1760
4,1077
5,817
6,957
7,1913
8,1312
9,1512
10,1350
11,1715
12,1559
13,169
14,1265
15,1191
16,210
17,1802
18,371
19,432
20,1225
21,512
22,209
23,60
24,986
25,1349
26,1053
27,671
28,1836
29,1758
30,555
31,1086
32,832
33,982
34,1642
35,143
36,184
37,620
38,1058
39,1742
40,224
41,1393
42,1664
43,1222
44,278
45,461
46,148
47,499
48,1070
49,1231
50,575
51,21
52,955
53,452
54,1183
55,786
56,40
57,205
58,1048
59,676
60,104
61,229
62,1134
63,1887
64,170
65,522
66,1521
67,1254
68,997
69,1320
70,1270
71,1264
72,1115
73,672
74,1330
75,82
76,831
77,1723
78,1337
79,1544
80,1685
81,165
82,476
83,1447
84,1746
85,1092
86,998
87,518
88,565
89,157
90,1106
91,615
92,220
93,1846
94,344
95,249
96,1407
97,1822
98,890
99,1385
100,580
101,877
102,1858
103,514
104,863
105,1449
106,847
107,92
108,994
109,1367
110,1243
111,655
112,1372
113,1417
114,1153
115,969
116,1085
117,1718
118,79
119,830
120,1269
121,178
122,139
123,1555
124,1435
125,833
126,218
127,837
128,1788
129,127
130,1902
131,988
132,646
133,1514
134,1266
135,1817
136,1720
137,1666
138,694
139,1826
140,801
141,1910
142,301
143,1002
144,1719
145,534
146,1267
147,1290
148,245
149,1759
150,276
151,341
152,38
153,1569
154,1611
155,608
156,945
157,1711
158,1314
159,1558
160,921
161,926
162,883
163,860
164,771
165,1838
166,1582
167,137
168,1820
169,1497
170,622
171,1491
172,599
173,1313
174,928
175,517
176,1033
177,530
178,272
179,1213
180,1125
181,1914
182,237
183,983
184,1502
185,735
186,849
187,1041
188,1727
189,52
190,900
191,840
192,241
193,1831
194,437
195,370
196,737
197,858
198,1315
199,252
200,1162
201,18
202,1221
203,1437
204,1707
205,811
206,458
207,41
208,1828
209,61
210,1829
211,1915
212,1306
213,56
214,1706
215,1624
216,869
217,1453
218,688
219,1206
220,268
221,745
222,1155
223,652
224,779
225,1598
226,1563
227,130
228,1477
229,25
230,1399
231,263
232,1036
233,1252
234,124
235,503
236,1400
237,1280
238,1522
239,732
240,1236
241,1351
242,1726
243,702
244,1112
245,1891
246,1151
247,109
248,1291
249,1473
250,253
251,892
252,1256
253,931
254,1281
255,977
256,1158
257,1709
258,1857
259,1638
260,1380
261,934
262,596
263,1200
264,507
265,386
266,1120
267,1728
268,1057
269,1906
270,864
271,942
272,1353
273,1537
274,17
275,698
276,422
277,1606
278,347
279,1577
280,1794
281,1811
282,649
283,1343
284,1101
285,75
286,1029
287,1248
288,390
289,1424
290,403
291,317
292,866
293,207
294,1766
295,612
296,787
297,327
298,1305
299,1612
300,1689
301,1658
302,1193
303,1411
304,1852
305,91
306,773
307,466
308,663
309,1684
310,1498
311,1050
312,206
313,1496
314,1107
315,296
316,266
317,1409
318,472
319,1551
320,1541
321,746
322,851
323,1509
324,1883
325,1319
326,843
327,1173
328,1282
329,829
330,1297
331,1406
332,1418
333,70
334,1880
335,1217
336,1659
337,1897
338,1531
339,767
340,324
341,848
342,1138
343,632
344,685
345,839
346,1338
347,1311
348,226
349,1049
350,802
351,1064
352,1876
353,481
354,1166
355,1135
356,1490
357,1208
358,83
359,944
360,282
361,634
362,426
363,1295
364,1360
365,1798
366,288
367,14
368,459
369,1730
370,1878
371,574
372,254
373,1038
374,1154
375,965
376,1628
377,65
378,27
379,1779
380,1809
381,1835
