,0
0,930
1,87
2,1563
3,1832
4,1394
5,608
6,613
7,567
8,760
9,948
10,517
11,25
12,417
13,1021
14,1598
15,1393
16,649
17,1780
18,1814
19,1181
20,1629
21,615
22,1405
23,1624
24,1675
25,955
26,820
27,864
28,620
29,361
30,1036
31,531
32,518
33,252
34,1586
35,1086
36,1137
37,837
38,1469
39,124
40,138
41,1888
42,976
43,1315
44,1178
45,15
46,1480
47,700
48,1099
49,1887
50,815
51,821
52,652
53,94
54,612
55,1034
56,183
57,1268
58,406
59,1491
60,1283
61,115
62,1847
63,1763
64,1266
65,1458
66,731
67,432
68,885
69,434
70,718
71,1424
72,1752
73,1484
74,317
75,1709
76,1317
77,650
78,312
79,409
80,1427
81,1223
82,1151
83,218
84,1448
85,758
86,1811
87,724
88,532
89,210
90,1114
91,1676
92,1056
93,975
94,54
95,910
96,160
97,1718
98,441
99,58
100,1468
101,770
102,646
103,90
104,418
105,1450
106,1127
107,1336
108,892
109,1543
110,902
111,715
112,785
113,489
114,677
115,1719
116,1340
117,133
118,730
119,1380
120,341
121,1023
122,757
123,184
124,827
125,1019
126,330
127,102
128,50
129,515
130,1221
131,18
132,260
133,1857
134,1356
135,1791
136,1672
137,655
138,1227
139,1702
140,639
141,1559
142,1345
143,565
144,1168
145,1287
146,452
147,1710
148,525
149,1332
150,1596
151,1333
152,952
153,237
154,1449
155,1843
156,1729
157,761
158,1109
159,1214
160,580
161,207
162,671
163,968
164,173
165,1861
166,1095
167,1447
168,1435
169,826
170,1351
171,1320
172,66
173,523
174,126
175,1615
176,411
177,103
178,1706
179,1759
180,1115
181,920
182,882
183,855
184,1225
185,682
186,1429
187,196
188,380
189,225
190,1758
191,1269
192,1035
193,622
194,1650
195,114
196,73
197,1804
198,633
199,1651
200,996
201,1666
202,874
203,478
204,1760
205,1591
206,273
207,108
208,443
209,1232
210,276
211,807
212,786
213,1568
214,676
215,491
216,763
217,808
218,1805
219,548
220,1717
221,841
222,1801
223,702
224,1868
225,1091
226,1093
227,1434
228,903
229,1824
230,1234
231,1191
232,1829
233,1395
234,1197
235,179
236,1367
237,1767
238,1155
239,400
240,1913
241,1290
242,212
243,1537
244,200
245,1576
246,195
247,1337
248,998
249,1846
250,596
251,555
252,370
253,1565
254,1136
255,1022
256,908
257,1579
258,294
259,1892
260,1771
261,1353
262,499
263,1349
264,654
265,446
266,1275
267,1866
268,978
269,1679
270,216
271,202
272,512
273,1020
274,258
275,144
276,454
277,586
278,106
279,1884
280,345
281,824
282,415
283,118
284,1167
285,1700
286,1725
287,146
288,1260
289,1707
290,44
291,1558
292,1891
293,394
294,1784
295,1113
296,463
297,660
298,1190
299,1820
300,621
301,854
302,1187
303,89
304,1011
305,1120
306,1256
307,688
308,1041
309,32
310,1828
311,647
312,1444
313,690
314,795
315,1646
316,61
317,153
318,1018
319,828
320,616
321,1726
322,442
323,986
324,891
325,1562
326,141
327,1837
328,1365
329,1599
330,1170
331,386
332,1205
333,101
334,803
335,1257
336,879
337,277
338,1237
339,157
340,694
341,1677
342,734
343,1495
344,20
345,890
346,1243
347,1400
348,105
349,1300
350,1009
351,1143
352,231
353,1906
354,914
355,1200
356,251
357,1796
358,1620
359,510
360,791
361,1229
362,1092
363,1808
364,1514
365,748
366,959
367,1849
368,162
369,1150
370,1504
371,1415
372,787
373,1519
374,1422
375,86
376,1734
377,217
378,319
379,966
380,1274
381,1369
382,937
383,1335
384,1067
385,1556
386,618
387,1812
388,267
389,21
390,552
391,1291
392,82
393,1233
394,1500
395,1222
396,64
397,542
398,1735
399,1090
400,125
401,1674
402,331
403,382
404,704
405,427
406,541
407,742
408,326
409,643
410,135
411,1110
412,1059
413,923
414,1344
415,521
416,732
417,899
418,352
419,1352
420,1623
421,1589
422,475
423,381
424,1000
425,797
426,24
427,224
428,388
429,318
430,670
431,1550
432,1324
433,1312
434,1453
435,611
436,769
437,397
438,570
439,1555
440,1467
441,1694
442,164
443,950
444,1575
445,1636
446,1909
447,503
448,1379
449,1236
450,637
451,790
452,549
453,942
454,536
455,1306
456,1544
457,1648
458,79
459,1777
460,1512
461,6
462,1497
463,156
464,1273
465,220
466,1421
467,1765
468,1656
469,845
470,246
471,1314
472,1834
473,592
474,1728
475,347
476,414
477,927
478,673
479,1281
480,130
481,906
482,1547
483,991
484,56
485,1873
486,599
487,1417
488,1172
489,801
490,720
491,356
492,638
493,372
494,929
495,0
496,488
497,1775
498,861
499,1299
500,1611
501,1
502,849
503,1052
504,1475
505,699
506,1206
507,971
508,1133
509,894
510,1581
511,424
512,1412
513,1066
514,557
515,609
516,1825
517,278
518,514
519,1068
520,513
521,1704
522,301
523,468
524,300
525,1695
526,766
527,1100
528,1642
529,629
530,1265
531,578
532,590
533,1836
534,470
535,1806
536,1715
537,256
538,1141
539,486
540,412
541,813
542,887
543,1699
544,1740
545,1188
546,1355
547,1797
548,159
549,1153
550,904
551,983
552,391
553,1536
554,1817
555,1722
556,1313
557,476
558,558
559,741
560,1087
561,628
562,585
563,280
564,1711
565,181
566,1580
567,1856
568,176
569,78
570,1111
571,1582
572,344
573,264
574,762
575,1774
576,1915
577,342
578,1385
579,49
580,187
581,524
582,1128
583,178
584,40
585,1026
586,1742
587,134
588,205
589,1489
590,693
591,1522
592,213
593,33
594,147
595,437
596,1250
597,350
598,1364
599,413
600,1473
601,458
602,167
603,1459
604,1075
605,1637
606,357
607,1159
608,1280
609,1302
610,1452
611,1662
612,905
613,1525
614,423
615,1298
616,1271
617,1081
618,1179
619,895
620,857
621,1438
622,1030
623,989
624,1125
625,2
626,1619
627,435
628,811
629,253
630,494
631,1024
632,1145
633,799
634,771
635,1158
636,363
637,1826
638,1545
639,504
640,1477
641,928
642,1904
643,315
644,886
645,747
646,371
647,283
648,1088
649,1425
650,994
651,214
652,697
653,1180
654,1140
655,1713
656,783
657,440
658,625
659,1253
660,250
661,1085
662,1853
663,626
664,1503
665,67
666,1404
667,1117
668,38
669,1607
670,313
671,1267
672,191
673,249
674,1560
675,522
676,1441
677,935
678,721
679,1772
680,1724
681,1683
682,1112
683,686
